ProductLabel,Sphere,Cylinder,AntiReflectiveCoating,Id,Name,Deleted,Transitions,RemainingCount,LowInventoryWarning
-0.25/-1.5/CR39/TR,-0.25,-1.50,False,2,Plastic2,True,True,0,0
0.25/-1.5/CR39/TR,0.25,-1.50,False,2,Plastic2,True,True,0,0
-0.25/-1.5/Poly,-0.25,-1.50,False,1,Plastic,False,False,0,0
0.25/-1.5/Poly,0.25,-1.50,False,1,Plastic,False,False,0,0
-0.25/-1.5/Poly/AR,-0.25,-1.50,True,1,Plastic,False,False,0,0
0.25/-1.5/Poly/AR,0.25,-1.50,True,1,Plastic,False,False,0,0
-0.25/-1.5/Poly/TR,-0.25,-1.50,False,1,Plastic,False,True,0,0
0.25/-1.5/Poly/TR,0.25,-1.50,False,1,Plastic,False,True,0,0
-0.25/-1.75/CR39,-0.25,-1.75,False,2,Plastic2,True,False,0,0
0.25/-1.75/CR39,0.25,-1.75,False,2,Plastic2,True,False,0,0
-0.25/-1.75/CR39/AR,-0.25,-1.75,True,2,Plastic2,True,False,0,0
0.25/-1.75/CR39/AR,0.25,-1.75,True,2,Plastic2,True,False,0,0
-0.25/-1.75/CR39/TR,-0.25,-1.75,False,2,Plastic2,True,True,0,0
0.25/-1.75/CR39/TR,0.25,-1.75,False,2,Plastic2,True,True,0,0
-0.25/-1.75/Poly,-0.25,-1.75,False,1,Plastic,False,False,0,0
0.25/-1.75/Poly,0.25,-1.75,False,1,Plastic,False,False,0,0
-0.25/-1.75/Poly/AR,-0.25,-1.75,True,1,Plastic,False,False,0,0
0.25/-1.75/Poly/AR,0.25,-1.75,True,1,Plastic,False,False,0,0
-0.25/-1.75/Poly/TR,-0.25,-1.75,False,1,Plastic,False,True,0,0
0.25/-1.75/Poly/TR,0.25,-1.75,False,1,Plastic,False,True,0,0
-0.25/-1/CR39,-0.25,-1.00,False,2,Plastic2,True,False,0,0
0.25/-1/CR39,0.25,-1.00,False,2,Plastic2,True,False,0,0
-0.25/-1/CR39/AR,-0.25,-1.00,True,2,Plastic2,True,False,0,0
0.25/-1/CR39/AR,0.25,-1.00,True,2,Plastic2,True,False,0,0
-0.25/-1/CR39/TR,-0.25,-1.00,False,2,Plastic2,True,True,0,0
0.25/-1/CR39/TR,0.25,-1.00,False,2,Plastic2,True,True,0,0
-0.25/-1/Poly,-0.25,-1.00,False,1,Plastic,False,False,0,0
0.25/-1/Poly,0.25,-1.00,False,1,Plastic,False,False,0,0
-0.25/-1/Poly/AR,-0.25,-1.00,True,1,Plastic,False,False,0,0
0.25/-1/Poly/AR,0.25,-1.00,True,1,Plastic,False,False,0,0
-0.25/-1/Poly/TR,-0.25,-1.00,False,1,Plastic,False,True,0,0
0.25/-1/Poly/TR,0.25,-1.00,False,1,Plastic,False,True,0,0
-0.25/-2.25/CR39,-0.25,-2.25,False,2,Plastic2,True,False,0,0
0.25/-2.25/CR39,0.25,-2.25,False,2,Plastic2,True,False,0,0
-0.25/-2.25/CR39/AR,-0.25,-2.25,True,2,Plastic2,True,False,0,0
0.25/-2.25/CR39/AR,0.25,-2.25,True,2,Plastic2,True,False,0,0
-0.25/-2.25/CR39/TR,-0.25,-2.25,False,2,Plastic2,True,True,0,0
0.25/-2.25/CR39/TR,0.25,-2.25,False,2,Plastic2,True,True,0,0
-0.25/-2.25/Poly,-0.25,-2.25,False,1,Plastic,False,False,0,0
0.25/-2.25/Poly,0.25,-2.25,False,1,Plastic,False,False,0,0
-0.25/-2.25/Poly/AR,-0.25,-2.25,True,1,Plastic,False,False,0,0
0.25/-2.25/Poly/AR,0.25,-2.25,True,1,Plastic,False,False,0,0
-0.25/-2.25/Poly/TR,-0.25,-2.25,False,1,Plastic,False,True,0,0
0.25/-2.25/Poly/TR,0.25,-2.25,False,1,Plastic,False,True,0,0
-0.25/-2.5/CR39,-0.25,-2.50,False,2,Plastic2,True,False,0,0
0.25/-2.5/CR39,0.25,-2.50,False,2,Plastic2,True,False,0,0
-0.25/-2.5/CR39/AR,-0.25,-2.50,True,2,Plastic2,True,False,0,0
0.25/-2.5/CR39/AR,0.25,-2.50,True,2,Plastic2,True,False,0,0
-0.25/-2.5/CR39/TR,-0.25,-2.50,False,2,Plastic2,True,True,0,0
0.25/-2.5/CR39/TR,0.25,-2.50,False,2,Plastic2,True,True,0,0
-0.25/-2.5/Poly,-0.25,-2.50,False,1,Plastic,False,False,0,0
0.25/-2.5/Poly,0.25,-2.50,False,1,Plastic,False,False,0,0
-0.25/-2.5/Poly/AR,-0.25,-2.50,True,1,Plastic,False,False,0,0
0.25/-2.5/Poly/AR,0.25,-2.50,True,1,Plastic,False,False,0,0
-0.25/-2.5/Poly/TR,-0.25,-2.50,False,1,Plastic,False,True,0,0
0.25/-2.5/Poly/TR,0.25,-2.50,False,1,Plastic,False,True,0,0
-0.25/-2.75/CR39,-0.25,-2.75,False,2,Plastic2,True,False,0,0
0.25/-2.75/CR39,0.25,-2.75,False,2,Plastic2,True,False,0,0
-0.25/-2.75/CR39/AR,-0.25,-2.75,True,2,Plastic2,True,False,0,0
0.25/-2.75/CR39/AR,0.25,-2.75,True,2,Plastic2,True,False,0,0
-0.25/-2.75/CR39/TR,-0.25,-2.75,False,2,Plastic2,True,True,0,0
0.25/-2.75/CR39/TR,0.25,-2.75,False,2,Plastic2,True,True,0,0
-0.25/-2.75/Poly,-0.25,-2.75,False,1,Plastic,False,False,0,0
0.25/-2.75/Poly,0.25,-2.75,False,1,Plastic,False,False,0,0
-0.25/-2.75/Poly/AR,-0.25,-2.75,True,1,Plastic,False,False,0,0
0.25/-2.75/Poly/AR,0.25,-2.75,True,1,Plastic,False,False,0,0
-0.25/-2.75/Poly/TR,-0.25,-2.75,False,1,Plastic,False,True,0,0
0.25/-2.75/Poly/TR,0.25,-2.75,False,1,Plastic,False,True,0,0
-0.25/-2/CR39,-0.25,-2.00,False,2,Plastic2,True,False,0,0
0.25/-2/CR39,0.25,-2.00,False,2,Plastic2,True,False,0,0
-0.25/-2/CR39/AR,-0.25,-2.00,True,2,Plastic2,True,False,0,0
0.25/-2/CR39/AR,0.25,-2.00,True,2,Plastic2,True,False,0,0
-0.25/-2/CR39/TR,-0.25,-2.00,False,2,Plastic2,True,True,0,0
0.25/-2/CR39/TR,0.25,-2.00,False,2,Plastic2,True,True,0,0
-0.25/-2/Poly,-0.25,-2.00,False,1,Plastic,False,False,0,0
0.25/-2/Poly,0.25,-2.00,False,1,Plastic,False,False,0,0
-0.25/-2/Poly/AR,-0.25,-2.00,True,1,Plastic,False,False,0,0
0.25/-2/Poly/AR,0.25,-2.00,True,1,Plastic,False,False,0,0
-0.25/-2/Poly/TR,-0.25,-2.00,False,1,Plastic,False,True,0,0
0.25/-2/Poly/TR,0.25,-2.00,False,1,Plastic,False,True,0,0
